Download Code,D_num,Announced,Effective,GVKEY,PERMNO,TICKER,IBES Ticker,Company Name,COMPANY NAME - HISTORICAL,Company Name,URL,page,Start Date,End Date,Start Page,End Page,,Company,Start From Page,#of Page Visited,#of Page Downloaded,#of Records Downloaded,,
green,958653020,6/15/1999,1/4/2000,26008,78117,ACXT,ACXT,GRAPHIC PACKAGING CORPORATION,GRAPHIC PACKAGING INTL CORP,GRAPHIC PACKAGING INTL CORP,https://www.glassdoor.com/Reviews/Graphic-Packaging-International-Reviews-E2199.htm,100,6/15/1998,1/3/2001,Not in range,,,GRAPHIC PACKAGING CORPORATION,99,3,0,0,,
green,1084001020,1/28/2000,2/16/2000,24474,76846,TSCC,TSCC,TECHNOLOGY SOLUTIONS CO,TECHNOLOGY SOLUTIONS CO,TECHNOLOGY SOLUTIONS CO,https://www.glassdoor.com/Reviews/Technology-Solutions-IL-Reviews-E458.htm,3,1/28/1999,2/15/2001,Not in range,,,TECHNOLOGY SOLUTIONS CO,2,2,0,0,,
green,1042093020,1/31/2000,3/28/2000,1633,14198,ALOG,ALOG,ANALOGIC CORP,ANALOGIC CORP,ANALOGIC CORP,https://www.glassdoor.com/Reviews/Analogic-Reviews-E1133.htm,13,1/31/1999,3/28/2001,Not in range,,,ANALOGIC CORP,12,2,0,0,,
green,903763020,7/12/1999,4/3/2000,2086,27887,BAX,BAX,BAXTER INTERNATIONAL INC,BAXTER INTERNATIONAL INC,BAXTER INTERNATIONAL INC,https://www.glassdoor.com/Reviews/Baxter-Reviews-E83.htm,430,7/12/1998,4/3/2001,Not in range,,,BAXTER INTERNATIONAL INC,429,3,0,0,,
Not Found,892756020,6/10/1999,4/4/2000,28701,28353,RAL,RAL,RALSTON PURINA COMPANY,RALSTON PURINA CO,RALSTON PURINA CO,,,6/10/1998,4/4/2001,Not in range,,,RALSTON PURINA COMPANY,,,,,,
green,906356020,7/21/1999,4/17/2000,4367,32791,ENGY,ENGY,WEATHERFORD INTERNATIONAL PLC,WEATHERFORD INTERNATIONAL PLC,WEATHERFORD INTL PLC,https://www.glassdoor.com/Reviews/Weatherford-Reviews-E1715.htm,239,7/21/1998,4/17/2001,Not in range,,,WEATHERFORD INTERNATIONAL PLC,238,2,0,0,,
green,997497020,4/12/2000,4/30/2000,1878,85631,ACAD,ACAD,AUTODESK INC,AUTODESK INC,AUTODESK INC,https://www.glassdoor.com/Reviews/Autodesk-Reviews-E1155.htm,439,4/13/1999,4/30/2001,Not in range,,,AUTODESK INC,438,2,0,0,,
green,1004652020,5/9/2000,5/9/2000,122917,87173,LOOK,LOOK,LOOKSMART LTD,LOOKSMART LTD,LOOKSMART GROUP INC,https://www.glassdoor.com/Reviews/LookSmart-Reviews-E8363.htm,2,5/10/1999,5/9/2001,Not in range,,,LOOKSMART LTD,1,2,0,0,,
green,1033777020,9/30/1999,6/21/2000,9063,76282,RWIN,RWIN,AUTONATION INC,AUTONATION INC DEL,AUTONATION INC,https://www.glassdoor.com/Reviews/AutoNation-Reviews-E2593.htm,234,9/30/1998,6/21/2001,Not in range,,,AUTONATION INC,233,2,0,0,,
green,904488020,4/14/2000,6/29/2000,4839,25785,F,F,FORD MOTOR CO,FORD MOTOR CO DEL,FORD MOTOR CO,https://www.glassdoor.com/Reviews/Ford-Motor-Company-Reviews-E263.htm,1108,4/15/1999,6/29/2001,Not in range,,,FORD MOTOR CO,1107,3,0,0,,
Not Found,1061243020,10/4/1999,6/30/2000,13046,65315,DLWD,DLWD,DELTA WOODSIDE INDS INC,DELTA WOODSIDE INDS INC NEW,DELTA WOODSIDE INDUSTRIES,,,10/4/1998,6/30/2001,Not in range,,,DELTA WOODSIDE INDS INC,,,,,,
green,1027400020,4/11/2000,7/6/2000,63661,83942,ITIG,ITIG,INTELLIGROUP INC.,INTELLIGROUP INC,INTELLIGROUP INC,https://www.glassdoor.com/Reviews/IntelliGroup-Reviews-E3244271.htm,1,4/12/1999,7/6/2001,Not in range,,,INTELLIGROUP INC.,1,1,0,0,,
green,1024939020,1/27/2000,7/24/2000,1706,11581,APWR,APWR,ACTUANT CORPORATION,ACTUANT CORP,ACTUANT CORP -CL A,https://www.glassdoor.com/Reviews/Enerpac-Tool-Group-Reviews-E1140.htm,26,1/27/1999,7/24/2001,Not in range,,,ACTUANT CORPORATION,25,2,0,0,,
green,982714020,3/1/2000,10/2/2000,62599,83332,LU,LU,LUCENT TECHNOLOGIES INC,LUCENT TECHNOLOGIES INC,LUCENT TECHNOLOGIES INC,https://www.glassdoor.com/Reviews/Alcatel-Lucent-Reviews-E3453.htm,235,3/2/1999,10/2/2001,Not in range,,,LUCENT TECHNOLOGIES INC,234,2,0,0,,
green,937277020,10/27/1999,10/10/2000,12544,76123,SJP,SJP,ST JOE COMPANY,ST JOE CORP,ST JOE CO,https://www.glassdoor.com/Reviews/The-St-Joe-Company-Reviews-E938926.htm,10,10/27/1998,10/10/2001,Not in range,,,ST JOE COMPANY,9,2,0,0,,
Need Investigate,1002408020,4/24/2000,12/12/2000,15133,77579,SYB,SYB,APOGENT TECHNOLOGIES,APOGENT TECHNOLOGIES INC,APOGENT TECHNOLOGIES INC,"https://www.glassdoor.com/Overview/Working-at-Thermo-Fisher-Scientific-EI_IE658.11,35.htm",1185,4/25/1999,12/12/2001,Not in range,duplicate,,APOGENT TECHNOLOGIES,,,,,,
green,1016041020,6/8/2000,12/22/2000,141400,26382,FLR,FLR,MASSEY ENERGY COMPANY,MASSEY ENERGY CO,MASSEY ENERGY CO,https://www.glassdoor.com/Reviews/Massey-Energy-Reviews-E8426193.htm,1,6/9/1999,12/22/2001,Not in range,,,MASSEY ENERGY COMPANY,1,1,0,0,,
green,1081959020,1/14/2000,2/28/2001,8901,66683,RES,RES,RPC INCORPORATED,R P C ENERGY SVCS INC,RPC INC,https://www.glassdoor.com/Reviews/RPC-Reviews-E557.htm,5,1/14/1999,2/28/2002,Not in range,,,RPC INCORPORATED,4,2,0,0,,
green,1068976020,7/18/2000,4/2/2001,3480,38914,CDA,CDA,CERIDIAN CORPORATION,CERIDIAN CORP,CERIDIAN CORP,https://www.glassdoor.com/Reviews/Dayforce-Reviews-E179.htm,281,7/19/1999,4/2/2002,Not in range,,,CERIDIAN CORPORATION,280,3,0,0,,
green,1020416020,6/8/2000,5/14/2001,12256,10353,ADPT,ADPT,STEEL EXCEL INC,STELL EXCEL INC,STEEL EXCEL INC,https://www.glassdoor.com/Reviews/Steel-Energy-Reviews-E2444424.htm,1,6/9/1999,5/14/2002,Not in range,,,STEEL EXCEL INC,1,1,0,0,,
green,1073206020,12/8/2000,7/2/2001,9203,84381,ROK,ROK,ROCKWELL AUTOMATION INC,ROCKWELL AUTOMATION INC,ROCKWELL AUTOMATION,https://www.glassdoor.com/Reviews/Rockwell-Automation-Reviews-E567.htm,345,12/9/1999,7/2/2002,Not in range,,,ROCKWELL AUTOMATION INC,344,3,0,0,,
green,1224268020,11/27/2000,7/2/2001,6331,42067,KAB,KAB,FURMANITE CORP,FURMANITE CORP,FURMANITE CORP,https://www.glassdoor.com/Reviews/Furmanite-Reviews-E371.htm,4,11/28/1999,7/2/2002,Not in range,,,FURMANITE CORP,1,4,0,0,,
green,1052511020,10/1/2000,7/9/2001,4423,52476,EFX,EFX,EQUIFAX INC,EQUIFAX INC,EQUIFAX INC,https://www.glassdoor.com/Reviews/Equifax-Reviews-E232.htm,285,10/2/1999,7/9/2002,Not in range,,,EQUIFAX INC,284,3,0,0,,
green,1052020020,2/22/2001,8/7/2001,2403,19393,BMY,BMY,BRISTOLMYERS SQUIBB CO,BRISTOL MYERS SQUIBB CO,BRISTOL-MYERS SQUIBB CO,https://www.glassdoor.com/Reviews/Bristol-Myers-Squibb-Reviews-E107.htm,459,2/23/2000,8/7/2002,Not in range,,,BRISTOLMYERS SQUIBB CO,458,2,0,0,,
green,1221948020,7/20/2000,8/23/2001,61396,82488,ESST,ESST,ESS TECHNOLOGY INC,E S S TECHNOLOGY INC,ESS TECHNOLOGY INC,https://www.glassdoor.com/Reviews/ESS-Technology-Reviews-E4519.htm,2,7/21/1999,8/23/2002,Not in range,,,ESS TECHNOLOGY INC,1,2,0,0,,
Not Found,1198395020,6/28/2001,11/14/2001,7773,22066,NSI,NSI,NATIONAL SERVICE INDS INC,NATIONAL SERVICE INDUSTRIES INC,NATIONAL SERVICE INDS INC,,1,6/28/2000,11/14/2002,Not in range,,,NATIONAL SERVICE INDS INC,,,,,,
green,1073581020,12/11/2000,11/15/2001,8606,24459,PBI,PBI,PITNEY BOWES INC,PITNEY BOWES INC,PITNEY BOWES INC,https://www.glassdoor.com/Reviews/Pitney-Bowes-Reviews-E535.htm,279,12/12/1999,11/15/2002,Not in range,,,PITNEY BOWES INC,278,2,0,0,,
green,1228949020,1/31/2000,11/15/2001,10530,62092,TMO,TMO,THERMO FISHER SCIENTIFIC INC,THERMO ELECTRON CORP,THERMO FISHER SCIENTIFIC INC,https://www.glassdoor.com/Reviews/Thermo-Fisher-Scientific-Reviews-E658.htm,1185,1/31/1999,11/15/2002,Not in range,,,THERMO FISHER SCIENTIFIC INC,1184,4,0,0,,
green,1192517020,6/11/2001,2/19/2002,62885,85928,SERC,SERC,SERACARE INC,SERACARE INC,SERACARE INC,https://www.glassdoor.com/Reviews/SeraCare-Life-Sciences-Reviews-E7933.htm,6,6/11/2000,2/19/2003,Not in range,,,SERACARE INC,1,6,0,0,,
green,1256755020,11/15/2001,3/1/2002,61121,82155,AMIE,AMIE,AMBASSADORS INTERNATIONAL,AMBASSADORS INTERNATIONAL INC,AMBASSADORS INTERNATIONL INC,https://www.glassdoor.com/Reviews/Ambassadors-Group-Reviews-E14899.htm,1,11/15/2000,3/1/2003,Not in range,,,AMBASSADORS INTERNATIONAL,1,1,0,0,,
green,1273248020,7/15/2001,4/1/2002,63708,84026,DVD,DVD,DOVER MOTORSPORTS INC,DOVER MOTORSPORTS INC,DOVER MOTORSPORTS INC,https://www.glassdoor.com/Reviews/Dover-Motorsports-Reviews-E6219.htm,2,7/15/2000,4/1/2003,Not in range,,,DOVER MOTORSPORTS INC,1,2,0,0,,
green,1219213020,9/4/2001,6/3/2002,5229,12140,GR,GR,GOODRICH CORPORATION,GOODRICH B F CO,GOODRICH CORP,https://www.glassdoor.com/Reviews/Collins-Aerospace-Reviews-E2375726.htm,450,9/4/2000,6/3/2003,Not in range,,,GOODRICH CORPORATION,449,2,0,0,,
green,1264376020,1/22/2002,7/1/2002,15708,75646,AGN,AGN,ALLERGAN INC,ALLERGAN INC,ALLERGAN INC,https://www.glassdoor.com/Reviews/Allergan-Aesthetics-Reviews-E4820678.htm,13,1/22/2001,7/1/2003,Not in range,,,ALLERGAN INC,12,2,0,0,,
green,1195012020,6/14/2001,7/23/2002,12559,10667,ARSN,ARSN,FUEL SYSTEMS SOLUTIONS INC,FUEL SYSTEMS SOLUTIONS INC,FUEL SYSTEMS SOLUTIONS INC,https://www.glassdoor.com/Reviews/Westport-Fuel-Systems-Reviews-E1375837.htm,4,6/14/2000,7/23/2003,Not in range,,,FUEL SYSTEMS SOLUTIONS INC,1,4,0,0,,
green,1273272020,2/25/2002,10/1/2002,5581,32707,HP,HP,HELMERICH AND PAYNE INC,HELMERICH & PAYNE INC,HELMERICH & PAYNE,https://www.glassdoor.com/Reviews/Helmerich-and-Payne-Reviews-E23254.htm,40,2/25/2001,10/1/2003,Not in range,,,HELMERICH AND PAYNE INC,39,3,0,0,,
green,1273291020,2/22/2002,10/1/2002,3054,47175,CC,CC,CIRCUIT CITY STORES INC,CIRCUIT CITY STORES INC,CIRCUIT CITY STORES INC,https://www.glassdoor.com/Reviews/Circuit-City-Reviews-E8231.htm,65,2/22/2001,10/1/2003,Not in range,,,CIRCUIT CITY STORES INC,64,2,0,0,,
green,1279953020,3/14/2002,10/1/2002,11649,59483,YELL,YELL,YRC WORLDWIDE INC,Y R C WORLDWIDE INC,YRC WORLDWIDE INC,https://www.glassdoor.com/Reviews/YRC-Worldwide-Reviews-E2050.htm,23,3/14/2001,10/1/2003,Not in range,,,YRC WORLDWIDE INC,22,3,0,0,,
green,1285502020,10/30/2002,11/1/2002,29722,80236,DSPG,DSPG,DSP GROUP INC,D S P GROUP INC,DSP GROUP INC,https://www.glassdoor.com/Reviews/DSP-Group-Reviews-E2558.htm,9,10/30/2001,11/1/2003,Not in range,,,DSP GROUP INC,8,2,0,0,,
green,1337206020,10/21/2002,12/19/2002,8627,63240,PLX1,PLX1,PLAINS RES INC,PLAINS RESOURCES INC,PLAINS RESOURCES INC,https://www.glassdoor.com/Reviews/Plains-All-American-Pipeline-Reviews-E8858.htm,31,10/21/2001,12/19/2003,Not in range,,,PLAINS RES INC,30,3,0,0,,
green,1336812020,10/21/2002,4/1/2003,64156,84342,TMPW,TMPW,MONSTER WORLDWIDE INC,MONSTER WORLDWIDE INC,MONSTER WORLDWIDE INC,https://www.glassdoor.com/Reviews/Monster-Worldwide-Reviews-E3411.htm,141,10/21/2001,3/31/2004,Not in range,,,MONSTER WORLDWIDE INC,140,2,0,0,,
green,1379899020,3/24/2003,6/30/2003,116526,86496,CNXT,CNXT,CONEXANT SYSTEMS INC,CONEXANT SYSTEMS INC,CONEXANT SYSTEMS INC,https://www.glassdoor.com/Reviews/Conexant-Systems-Reviews-E8975.htm,13,3/24/2002,6/29/2004,Not in range,,,CONEXANT SYSTEMS INC,12,2,0,0,,
green,1389126020,4/22/2003,7/1/2003,2845,53831,CTX,CTX,CENTEX CORPORATION,CENTEX CORP,CENTEX CORP,https://www.glassdoor.com/Reviews/Centex-Reviews-E18912.htm,10,4/22/2002,6/30/2004,Not in range,,,CENTEX CORPORATION,9,2,0,0,,
green,1387525020,4/22/2003,8/20/2003,7257,22752,MRK,MRK,"MERCK & CO., INC.",MERCK & CO INC NEW,MERCK & CO,https://www.glassdoor.com/Reviews/Merck-Reviews-E438.htm,596,4/22/2002,8/19/2004,Not in range,,,"MERCK & CO., INC.",595,3,0,0,,
green,1410848020,7/2/2003,9/10/2003,25774,77971,EFII,EFII,ELECTRONICS FOR IMAGING INC,ELECTRONICS FOR IMAGING INC,ELECTRONICS FOR IMAGING INC,https://www.glassdoor.com/Reviews/EFI-Reviews-E2243.htm,94,7/2/2002,9/9/2004,Not in range,,,ELECTRONICS FOR IMAGING INC,93,2,0,0,,
Not Found,1378176020,3/17/2003,9/16/2003,21763,76448,TFS,TFS,THREE-FIVE SYSTEMS INCORPORATED,THREE FIVE SYSTEMS INC,THREE-FIVE SYSTEMS INC,,4,3/17/2002,9/15/2004,Not in range,,,THREE-FIVE SYSTEMS INCORPORATED,,,,,,
green,1360301020,9/26/2002,10/15/2003,1823,15457,ATRO,ATRO,ASTRONICS CORP,ASTRONICS CORP,ASTRONICS CORP,https://www.glassdoor.com/Reviews/Astronics-Reviews-E1149.htm,22,9/26/2001,10/14/2004,Not in range,,,ASTRONICS CORP,21,2,0,0,,
Not Found,1361276020,1/6/2003,10/29/2003,132502,87800,PAMP,PAMP,PALM INC,PALM INC,PALM INC,,0,1/6/2002,10/28/2004,Not in range,,,PALM INC,,,,,,
green,1370494020,2/12/2003,12/1/2003,24187,89306,GHVI,GHVI,"NEIGHBORCARE, INC.",NEIGHBORCARE INC,NEIGHBORCARE INC,https://www.glassdoor.com/Reviews/Neighborcare-Health-Reviews-E686824.htm,15,2/12/2002,11/30/2004,Not in range,,,"NEIGHBORCARE, INC.",14,2,0,0,,
green,1426370020,8/21/2003,5/3/2004,1078,20482,ABT,ABT,ABBOTT LABORATORIES,ABBOTT LABORATORIES,ABBOTT LABORATORIES,https://www.glassdoor.com/Reviews/Abbott-Reviews-E12.htm,904,8/21/2002,5/3/2005,Not in range,,,ABBOTT LABORATORIES,903,3,0,0,,
